Summary
Generated on:;13.07.2025 - 23:03:10
Parser:;Cobertura
Assemblies:;1
Classes:;78
Files:;56
Line coverage:;43.3%
Covered lines:;1987
Uncovered lines:;2598
Coverable lines:;4585
Total lines:;7895

FKala.Core;43.3%

FileSystemHelper;76.9%
FKala.Core.DataLayer_Readable_Caching_V1;63.7%
FKala.Core.DataLayer.Cache.Cache_15Minutely;60%
FKala.Core.DataLayer.Cache.Cache_5Minutely;60%
FKala.Core.DataLayer.Cache.Cache_Base;86.2%
FKala.Core.DataLayer.Cache.Cache_Hourly;71.1%
FKala.Core.DataLayer.Cache.Cache_Minutely;60%
FKala.Core.DataLayer.Cache.CachingLayer;62.2%
FKala.Core.DataLayer.Infrastructure.BufferedWriter;93.1%
FKala.Core.DataLayer.Infrastructure.BufferedWriterService;75.3%
FKala.Core.DataLayer.Infrastructure.DatFileParser;82.1%
FKala.Core.DataLayer.Infrastructure.DpPolicy;100%
FKala.Core.DataLayer.Infrastructure.IEnumerableExtensions;0%
FKala.Core.DataLayer.Infrastructure.LockManager;100%
FKala.Core.DataLayer.Infrastructure.Pools;100%
FKala.Core.DataLayers.StorageAccess;48.4%
FKala.Core.DataLayers.UnexpectedlyUnsortedException;33.3%
FKala.Core.Helper.Benchmarker;0%
FKala.Core.Helper.Msg;0%
FKala.Core.KalaQl.KalaQlContext;59%
FKala.Core.KalaQl.KalaQuery;93.1%
FKala.Core.KalaQl.KalaResult;100%
FKala.Core.KalaQl.Op_Aggregate;76.5%
FKala.Core.KalaQl.Op_AlignTimezone;48%
FKala.Core.KalaQl.Op_Base;20.8%
FKala.Core.KalaQl.Op_Expresso;0%
FKala.Core.KalaQl.Op_Insert;0%
FKala.Core.KalaQl.Op_Interpolate;0%
FKala.Core.KalaQl.Op_JsonQuery;0%
FKala.Core.KalaQl.Op_Load;34.5%
FKala.Core.KalaQl.Op_MatView;0%
FKala.Core.KalaQl.Op_Mgmt;3.6%
FKala.Core.KalaQl.Op_Publish;54.4%
FKala.Core.KalaQl.Op_Var;56.6%
FKala.Core.KalaQl.QueryParser.AggregateParams;0%
FKala.Core.KalaQl.QueryParser.AggregateParser;5.9%
FKala.Core.KalaQl.QueryParser.AlignTimezoneParams;0%
FKala.Core.KalaQl.QueryParser.AlignTimezoneParser;10%
FKala.Core.KalaQl.QueryParser.ExpressoParams;0%
FKala.Core.KalaQl.QueryParser.ExpressoParser;10%
FKala.Core.KalaQl.QueryParser.InsertParams;0%
FKala.Core.KalaQl.QueryParser.InsertParser;10%
FKala.Core.KalaQl.QueryParser.InterpolateParams;0%
FKala.Core.KalaQl.QueryParser.InterpolateParser;4.1%
FKala.Core.KalaQl.QueryParser.JsonQueryParams;0%
FKala.Core.KalaQl.QueryParser.JsonQueryParser;1.8%
FKala.Core.KalaQl.QueryParser.KalaQlParserBase;55.1%
FKala.Core.KalaQl.QueryParser.KalaQlParserRegistry;58.8%
FKala.Core.KalaQl.QueryParser.LoadParams;0%
FKala.Core.KalaQl.QueryParser.LoadParser;13.8%
FKala.Core.KalaQl.QueryParser.MatViewParams;0%
FKala.Core.KalaQl.QueryParser.MatViewParser;10%
FKala.Core.KalaQl.QueryParser.MgmtParams;0%
FKala.Core.KalaQl.QueryParser.MgmtParser;21.4%
FKala.Core.KalaQl.QueryParser.PublishParams;0%
FKala.Core.KalaQl.QueryParser.PublishParser;38.8%
FKala.Core.KalaQl.QueryParser.VarParams;0%
FKala.Core.KalaQl.QueryParser.VarParser;10%
FKala.Core.KalaQl.Result_Materialized;100%
FKala.Core.KalaQl.ResultPromise;100%
FKala.Core.KalaQl.Windowing.Window;58.1%
FKala.Core.Logic.DatasetsCombiner2;95.3%
FKala.Core.Logic.EnumerableHelpers;0%
FKala.Core.Logic.Fast;0%
FKala.Core.Logic.FileFromEndProcessor;0%
FKala.Core.Logic.KalaJson;100%
FKala.Core.Logic.LastLineReader;92.1%
FKala.Core.Logic.PathSanitizer;100%
FKala.Core.Logic.StreamingAggregator;82%
FKala.Core.Migration.InfluxLineProtocolImporter;0%
FKala.Core.Migrations.Influx.InfluxLineParser;81.8%
FKala.Core.Model.CacheResolution;100%
FKala.Core.Model.CacheResolutionPredefined;20%
FKala.Core.Model.DataPoint;0%
FKala.Core.ReaderTuple;100%
FKala.Migrate.MariaDb.EventRow;0%
FKala.Migrate.MariaDb.MigrateMariaDb_Tstsfe_Custom;0%
FKala.Migrate.MariaDb.ReaderExtension;0%
